ATM	0.0689655172413793,0.4848484848484849,0.1818181818181818,0.04,0.0172413793103448,0.032520325203252,0.0975609756097561,0.0461538461538461,0.0363636363636363,0.4827586206896552,0.1333333333333333,0.1904761904761904,0.0404040404040404,0.081967213114754,0.032258064516129,0.0975609756097561,0.0288461538461538,0.140625,0.1290322580645161,0.073170731707317,0.0814814814814814,0.0833333333333333,0.0606060606060606,0.0347826086956521,0.0615384615384615,0.0888888888888888,0.0217391304347826,0.0892857142857142,0.4864864864864865,0.075,0.1149425287356321,0.0256410256410256,0.4802867383512545,0.0576923076923077,0.4696969696969697,0.0288461538461538,0.3,0.4774436090225564,0.0666666666666666,0.0210843373493975,0.072289156626506,0.4193548387096774,0.0347222222222222,0.0217391304347826,0.4,0.0512820512820512,0.0406091370558375,0.0583941605839416,0.1224489795918367,0.0531914893617021,0.0617283950617283,0.4528301886792453,0.16,0.4285714285714285,0.0393700787401574,0.4615384615384616,0.2549019607843137,0.2791878172588832,0.04,0.0888888888888888,0.489051094890511,0.0460526315789473,0.032258064516129,0.0609756097560975,0.0649350649350649,0.4659090909090909,0.04,0.0207468879668049,0.0331491712707182,0.08,0.1219512195121951,0.036144578313253,0.0377358490566037,0.0427350427350427,0.0666666666666666,0.057471264367816,0.03125,0.094059405940594,0.0332326283987915,0.1224489795918367,0.0512820512820512,0.45,0.0465116279069767,0.1,0.1333333333333333,0.0298507462686567,0.0666666666666666,0.4462809917355372,0.0394736842105263,0.2222222222222222,0.0380434782608695,0.0377358490566037,0.0952380952380952,0.087719298245614,0.0476190476190476,0.0606060606060606,0.0476190476190476,0.0329670329670329,0.1041214750542299,0.2105263157894736,0.1295681063122923,0.4578005115089514,0.0930232558139534,0.0983606557377049,0.1,0.1061643835616438,0.1851851851851852,0.1333333333333333,0.0158730158730158,0.068,0.1223021582733813,0.0655737704918032,0.0444444444444444,0.4754098360655738,0.0909090909090909,0.0821917808219178,0.024390243902439,0.0317460317460317,0.0122549019607843,0.3835616438356164,0.0512820512820512,0.4423076923076923,0.0339805825242718,0.0454545454545454,0.0340136054421768,0.4315352697095436,0.0869565217391304,0.12,0.0776699029126213,0.056338028169014,0.0689655172413793,0.0265486725663716,0.1818181818181818,0.1954022988505747,0.0212765957446808,0.0110132158590308,0.0485436893203883,0.0454545454545454,0.0240963855421686,0.03125,0.0714285714285714
KMT2C	0.0636363636363636,0.0303030303030303,0.1875,0.0869565217391304,0.0180722891566265,0.0139664804469273,0.0660377358490566,0.073170731707317,0.0631578947368421,0.0261780104712041,0.0277777777777777,0.079646017699115,0.0512820512820512,0.1538461538461538,0.1639344262295081,0.1,0.0505050505050505,0.0338983050847457,0.0476190476190476,0.15,0.0925925925925926,0.0384615384615384,0.0461538461538461,0.0224719101123595,0.0592334494773519,0.028169014084507,0.3333333333333333,0.16,0.0390625,0.0714285714285714,0.0232558139534883,0.056338028169014,0.0142857142857142,0.024390243902439,0.0704225352112676,0.0617283950617283,0.0263157894736842,0.054054054054054,0.2380952380952381,0.048780487804878,0.0779220779220779,0.0390625,0.0277777777777777,0.4166666666666667,0.4594594594594595,0.1419753086419753,0.074074074074074,0.1066666666666666,0.0717948717948717,0.0350877192982456,0.4306722689075631,0.1081081081081081,0.0437956204379562,0.0493827160493827,0.064516129032258,0.1088607594936708,0.0180995475113122,0.0183150183150183,0.1081081081081081,0.3888888888888889,0.0185185185185185,0.0833333333333333,0.1081081081081081,0.05,0.032258064516129,0.0816326530612244,0.0555555555555555,0.0727272727272727,0.0259740259740259,0.0588235294117647,0.0462962962962962,0.0625,0.0833333333333333,0.4570765661252899,0.1428571428571428,0.0467289719626168,0.1379310344827586,0.0170454545454545,0.0365853658536585,0.0314960629921259,0.1515151515151515,0.0515463917525773,0.027027027027027,0.0555555555555555,0.036144578313253,0.053763440860215,0.0526315789473684,0.0347490347490347,0.0362694300518134,0.032258064516129,0.0588235294117647,0.043010752688172,0.0277777777777777,0.03125,0.024,0.0434782608695652,0.0259740259740259,0.0735294117647058,0.1666666666666666,0.2727272727272727,0.1081081081081081,0.3220338983050847,0.048076923076923,0.1052631578947368,0.0674157303370786,0.4065040650406504,0.055045871559633,0.0465116279069767,0.1,0.0547945205479452,0.0416666666666666,0.1176470588235294,0.0485436893203883,0.0533333333333333,0.1481481481481481,0.0526315789473684,0.0274509803921568,0.053763440860215,0.0597014925373134,0.0769230769230769,0.0476190476190476,0.0476190476190476,0.0437956204379562,0.064516129032258,0.1052631578947368,0.027027027027027,0.4626865671641791,0.0176211453744493,0.0238095238095238,0.4,0.08
CHEK2	0.4,0.1363636363636363,0.2368421052631579,0.2022471910112359,0.1,0.05,0.1052631578947368,0.0407239819004524,0.2790697674418605,0.0290697674418604,0.0230414746543778,0.0615384615384615,0.0769230769230769,0.3333333333333333,0.0581395348837209,0.0909090909090909,0.0287769784172661,0.4455445544554456,0.0583333333333333,0.4843554443053818,0.108695652173913,0.0232558139534883,0.0444444444444444,0.08,0.175,0.0851063829787234,0.0259740259740259,0.0360824742268041,0.05
STAT3	0.09375,0.0408163265306122,0.05,0.0460526315789473,0.0263157894736842,0.06,0.0293255131964809,0.0654205607476635,0.1515151515151515,0.0848214285714285,0.0463576158940397,0.0392156862745098,0.0721153846153846,0.0952380952380952,0.0412844036697247,0.0252525252525252,0.0219298245614035,0.0397727272727272,0.0347826086956521,0.40625,0.0238095238095238,0.1025641025641025,0.0579710144927536,0.0352112676056338,0.0267857142857142,0.2809667673716012,0.0449438202247191,0.053763440860215,0.1025641025641025,0.056338028169014,0.0526315789473684,0.03125,0.048780487804878,0.1875,0.0789473684210526
ERCC2	0.0952380952380952,0.3333333333333333,0.3333333333333333,0.4761904761904762,0.0869565217391304,0.4417670682730924,0.0354609929078014,0.0337837837837837,0.0816326530612244,0.0816326530612244,0.0416666666666666,0.021505376344086,0.0632911392405063,0.0229885057471264,0.031413612565445,0.0228136882129277,0.074074074074074,0.1428571428571428,0.0211267605633802,0.2033898305084746,0.0434782608695652,0.027027027027027,0.0454545454545454,0.0273972602739726,0.0517241379310344,0.048780487804878,0.3333333333333333,0.3333333333333333,0.4,0.4,0.4,0.0677966101694915,0.0869565217391304,0.0588235294117647,0.0930232558139534,0.0344827586206896,0.0263157894736842,0.0273972602739726,0.0909090909090909,0.4615384615384616,0.0449438202247191,0.2857142857142857
AFF3	0.0491803278688524,0.0365853658536585,0.017391304347826,0.050632911392405,0.0434782608695652,0.0317460317460317,0.0666666666666666,0.0327868852459016,0.0595238095238095,0.0404040404040404,0.0279329608938547,0.02803738317757,0.0833333333333333,0.0384615384615384,0.1818181818181818,0.0333333333333333,0.0253164556962025,0.0634920634920634,0.2727272727272727,0.0677966101694915,0.0285714285714285,0.4,0.0869565217391304,0.0333333333333333,0.0594059405940594,0.2272727272727273,0.119047619047619,0.1428571428571428,0.0982142857142857,0.1012658227848101,0.2727272727272727,0.1282051282051282,0.2307692307692308,0.0368098159509202,0.027027027027027,0.0930232558139534,0.0454545454545454,0.029520295202952,0.0229007633587786,0.032258064516129,0.0425531914893617,0.0851063829787234,0.0493827160493827,0.072463768115942,0.0217391304347826
SDHAF2	0.0256410256410256,0.3142857142857143,0.2790697674418605,0.4137931034482759,0.32,0.275,0.3870967741935484,0.3571428571428571,0.34,0.3076923076923077,0.1176470588235294,0.054054054054054
ABL2	0.017391304347826,0.0441176470588235,0.0377358490566037,0.0425531914893617,0.0597014925373134,0.0547945205479452,0.0365853658536585,0.03,0.0952380952380952,0.0306122448979591,0.0869565217391304,0.0510204081632653,0.044776119402985,0.0266666666666666,0.0273972602739726,0.0483870967741935,0.0930232558139534,0.0851063829787234,0.1219512195121951,0.0235294117647058,0.0454545454545454,0.0465116279069767,0.0296296296296296,0.225,0.0336134453781512,0.0833333333333333,0.1081081081081081,0.0185185185185185,0.04,0.0588235294117647,0.0287539936102236,0.1290322580645161,0.3333333333333333,0.0714285714285714,0.2857142857142857
LZTR1	0.1875,0.2105263157894736,0.0555555555555555,0.0201342281879194,0.0714285714285714,0.1212121212121212,0.0344827586206896,0.048076923076923,0.1379310344827586,0.1946902654867257,0.1836734693877551,0.2222222222222222,0.2592592592592592,0.2195121951219512,0.2,0.2285714285714285,0.1777777777777777,0.0930232558139534,0.0307692307692307,0.1071428571428571,0.4,0.0923076923076923,0.087719298245614,0.237410071942446,0.1875,0.0869565217391304,0.074074074074074,0.0655737704918032,0.3333333333333333,0.1875,0.2727272727272727,0.0588235294117647,0.0303030303030303,0.375,0.3333333333333333,0.0512820512820512,0.0588235294117647,0.0208333333333333,0.0701754385964912,0.3333333333333333,0.467065868263473,0.0625,0.1,0.054054054054054,0.0327868852459016,0.0677966101694915,0.0694444444444444,0.0357142857142857
PABPC1	0.1333333333333333,0.0677966101694915,0.2727272727272727,0.1538461538461538,0.217391304347826,0.123076923076923,0.1313559322033898,0.1515151515151515,0.0984848484848484,0.2051282051282051,0.21875,0.1891891891891892,0.1538461538461538,0.1891891891891892,0.0564516129032258,0.1043478260869565,0.1111111111111111
